"type_id","type_name","category_id"
"3","Shield","3"
"4","Natal","4"
"5","Almoço","5"
"6","Pequeno Almoço","5"
"7","Uber","6"
"8","Dívidas","7"
"9","Orville","3"
"11","Café","9"
"12","Autocarro","10"
"17","Pop","14"
"20","Rock","14"
"21","Compras","6"
"23","Lost","3"
"24","Água","7"
"25","Luz","7"
"30","Rendas","25"
"31","Combustível","26"
"32","Afonso","27"
"33","Xiqui","27"
"34","Sharoca","27"
"35","Ze","27"
"36","Lanche","6"
"37","Lanche","9"
"38","Prédios","25"
"42","Metal","14"
"43","Refeições","6"
"44","McDonalds","9"
"45","Uber","10"
"46","Geral","6"
"47","Café","6"
"48","Gulodices","6"
"49","Trotinete","10"
"50","Trotinete","6"
"51","Aulas","28"
"52","Running","28"
"53","Comboio","10"
"54","Comboio","6"
